,satisfaction_level_percentage,last_evaluation_percentage,number_project,average_montly_hours,time_spend_company_years,Work_accident,left,promotion_last_5years,department,salary
56,0.11,0.94,7,255,4,0,1,0,2,0
57,0.1,0.81,6,309,4,0,1,0,1,0
58,0.38,0.54,2,128,3,0,1,0,1,0
59,0.85,1.0,4,225,5,0,1,0,1,0
60,0.85,0.91,5,226,5,0,1,0,9,1
61,0.11,0.93,7,308,4,0,1,0,3,1
62,0.1,0.95,6,244,5,0,1,0,3,1
63,0.36,0.56,2,132,3,0,1,0,3,1
64,0.11,0.94,6,286,4,0,1,0,3,1
65,0.81,0.7,6,161,4,0,1,0,3,1
66,0.43,0.54,2,153,3,0,1,0,4,1
67,0.9,0.98,4,264,6,0,1,0,4,1
68,0.76,0.86,5,223,5,1,1,0,4,1
69,0.43,0.5,2,135,3,0,1,0,4,1
70,0.74,0.99,2,277,3,0,1,0,3,1
71,0.09,0.77,5,275,4,0,1,0,4,1
72,0.45,0.49,2,149,3,0,1,0,4,2
73,0.09,0.87,7,295,4,0,1,0,4,0
74,0.11,0.97,6,277,4,0,1,0,4,1
75,0.11,0.79,7,306,4,0,1,0,4,1
76,0.1,0.83,6,295,4,0,1,0,4,1
77,0.4,0.54,2,137,3,0,1,0,5,1
78,0.43,0.56,2,157,3,0,1,0,0,0
79,0.39,0.56,2,142,3,0,1,0,7,0
80,0.45,0.54,2,140,3,0,1,0,2,0
81,0.38,0.49,2,151,3,0,1,0,1,0
82,0.79,0.59,4,139,3,0,1,1,9,0
83,0.84,0.85,4,249,6,0,1,0,5,0
84,0.11,0.77,6,291,4,0,1,0,5,0
85,0.11,0.87,6,305,4,0,1,0,5,0
86,0.17,0.84,5,232,3,0,1,0,0,0
87,0.44,0.45,2,132,3,0,1,0,0,0
88,0.37,0.57,2,130,3,0,1,0,0,0
89,0.1,0.79,6,291,4,0,1,0,0,0
90,0.4,0.5,2,130,3,0,1,0,0,0
91,0.89,1.0,5,246,5,0,1,0,0,0
92,0.42,0.48,2,143,3,0,1,0,0,0
93,0.46,0.55,2,129,3,0,1,0,0,0
94,0.09,0.83,6,255,4,0,1,0,0,0
95,0.37,0.51,2,155,3,0,1,0,0,0
96,0.1,0.77,6,265,4,0,1,0,0,0
97,0.1,0.84,6,279,4,0,1,0,0,0
98,0.11,0.97,6,284,4,0,1,0,0,0
99,0.9,1.0,5,221,6,0,1,0,0,1
100,0.38,0.52,2,154,3,0,1,0,0,1
101,0.36,0.52,2,147,3,0,1,0,0,1
102,0.42,0.46,2,150,3,0,1,0,0,1
103,0.09,0.94,7,267,4,0,1,0,0,1
104,0.43,0.52,2,158,3,0,1,0,0,1
105,0.24,0.46,7,224,5,0,1,0,7,1
106,0.91,1.0,4,257,5,0,1,0,7,1
107,0.44,0.5,2,148,3,0,1,0,7,1
108,0.71,0.87,3,177,4,0,1,0,8,1
109,0.4,0.49,2,155,3,0,1,0,8,1
110,0.43,0.47,2,144,3,0,1,0,8,1
111,0.09,0.85,6,289,4,0,1,0,8,2
112,0.43,0.52,2,160,3,0,1,0,1,0
113,0.9,0.96,4,258,5,0,1,0,1,1
114,0.84,1.0,5,234,5,0,1,0,1,1
115,0.37,0.48,2,137,3,0,1,0,1,1
116,0.86,0.68,5,263,2,0,1,0,1,1
117,0.11,0.84,6,251,4,0,1,0,1,0
118,0.37,0.57,2,133,3,0,1,0,1,0
119,0.4,0.46,2,132,3,0,1,0,1,0
120,0.14,0.62,4,158,4,1,1,0,1,0
121,0.4,0.46,2,135,3,0,1,0,1,0
122,0.75,1.0,4,216,6,0,1,0,1,0
123,0.11,0.84,6,300,5,1,1,0,2,0
124,0.46,0.49,2,138,3,0,1,0,2,0
125,0.11,0.92,6,260,4,0,1,0,2,0
126,0.38,0.49,2,132,3,0,1,0,2,0
127,0.7,0.89,3,183,5,0,1,0,2,0
128,0.09,0.82,6,250,4,0,1,0,2,0
129,0.37,0.45,2,151,3,0,1,0,2,0
130,0.1,0.83,6,292,4,0,1,0,2,0
131,0.38,0.57,2,140,3,0,1,0,2,0
132,0.9,1.0,5,221,5,0,1,0,2,0
133,0.44,0.51,2,138,3,0,1,0,2,0
134,0.36,0.5,2,132,3,0,1,0,1,0
135,0.31,0.84,7,133,5,0,1,0,1,0
136,0.1,0.84,6,283,4,1,1,0,1,0
137,0.42,0.48,2,129,3,0,1,0,9,0
138,0.74,1.0,4,249,5,0,1,0,3,0
139,0.73,0.87,5,257,5,0,1,0,3,0
140,0.09,0.96,6,245,4,0,1,0,3,0
141,0.45,0.53,2,155,3,0,1,0,3,0
142,0.11,0.8,6,256,4,0,1,0,3,0
143,0.37,0.47,2,152,3,0,1,0,4,0
144,0.84,0.99,4,267,5,0,1,0,4,0
145,0.41,0.46,2,151,3,0,1,0,4,0
146,0.76,0.92,4,239,5,0,1,0,4,0
147,0.11,0.87,6,306,4,0,1,0,3,0
148,0.84,0.88,4,263,5,1,1,0,5,0
149,0.39,0.5,2,147,3,0,1,0,5,0
150,0.11,0.91,6,278,4,0,1,0,5,0
151,0.45,0.56,2,154,3,0,1,0,5,0
152,0.37,0.52,2,143,3,0,1,0,5,0
153,0.4,0.52,2,155,3,0,1,0,5,0
154,0.39,0.48,2,160,3,0,1,0,0,0
155,0.11,0.8,6,304,4,0,1,0,7,0
156,0.83,1.0,5,240,5,0,1,0,2,0
157,0.11,0.92,6,305,4,0,1,0,1,0
158,0.39,0.5,2,136,3,0,1,0,9,0
159,0.45,0.45,2,132,3,0,1,0,5,0
160,0.1,0.95,7,301,4,0,1,0,5,0
161,0.9,0.98,5,243,6,0,1,0,5,0
162,0.45,0.51,2,147,3,0,1,0,0,0
163,0.79,0.89,5,239,5,0,1,0,0,0
164,0.9,0.99,5,260,5,0,1,0,0,0
165,0.11,0.84,7,296,4,0,1,0,0,0
166,0.43,0.55,2,129,3,0,1,0,0,0
167,0.31,0.54,5,132,5,0,1,0,0,0
168,0.32,0.5,2,135,5,0,1,0,0,0
169,0.45,0.57,2,158,3,0,1,0,0,0
170,0.81,0.99,4,259,5,0,1,0,0,0
171,0.41,0.46,2,160,3,0,1,1,0,0
172,0.11,0.78,7,278,4,0,1,0,0,0
173,0.1,0.88,6,284,4,0,1,0,0,0
174,0.7,0.53,2,274,4,0,1,0,0,0
175,0.54,0.74,4,164,2,0,1,0,0,0
176,0.41,0.48,2,148,3,0,1,0,0,0
177,0.38,0.5,2,140,3,0,1,0,0,1
178,0.37,0.51,2,127,3,0,1,0,0,1
179,0.11,0.85,6,308,5,0,1,0,0,1
180,0.4,0.47,2,146,3,0,1,0,0,1
181,0.1,0.84,6,261,4,0,1,0,7,1
182,0.89,0.99,5,257,5,0,1,0,7,1
183,0.11,0.8,6,285,4,0,1,0,7,1
184,0.36,0.55,2,141,3,0,1,0,8,1
185,0.4,0.46,2,127,3,0,1,0,8,1
186,0.09,0.85,6,297,4,0,1,0,8,1
187,0.4,0.46,2,143,3,0,1,0,8,1
188,0.37,0.55,2,152,3,0,1,0,1,1
189,0.44,0.51,2,156,3,0,1,0,1,2
190,0.09,0.8,7,283,5,0,1,0,1,0
191,0.92,0.87,4,226,6,1,1,0,1,1
192,0.74,0.91,4,232,5,0,1,0,1,1
193,0.09,0.82,6,249,4,0,1,0,1,1
194,0.89,0.95,4,275,5,0,1,0,1,1
195,0.09,0.8,6,304,4,0,1,0,1,0
196,0.27,0.54,7,278,3,0,1,0,1,0
197,0.1,0.91,6,287,4,0,1,0,1,0
198,0.1,0.89,7,285,4,0,1,0,1,0
199,0.77,0.94,5,226,6,0,1,0,2,0
200,0.9,0.82,5,259,5,0,1,0,2,0
201,0.39,0.5,2,135,3,0,1,0,2,0
202,0.76,1.0,5,219,5,0,1,0,2,0
203,0.1,0.93,6,256,4,0,1,0,2,0
204,0.87,0.9,5,254,6,0,1,0,2,0
205,0.38,0.5,2,153,3,0,1,0,2,0
206,0.77,0.99,5,228,5,0,1,0,2,0
207,0.78,0.87,4,228,5,0,1,0,2,0
208,0.44,0.5,2,128,3,0,1,0,2,0
209,0.38,0.52,2,153,3,0,1,0,2,0
210,0.43,0.46,2,156,3,0,1,0,1,0
211,0.39,0.5,4,294,3,0,1,0,1,0
212,0.88,1.0,5,219,5,0,1,0,1,0
213,0.45,0.46,2,153,3,0,1,0,9,0
214,0.4,0.53,2,151,3,0,1,0,3,0
215,0.36,0.51,2,155,3,0,1,0,3,0
216,0.36,0.48,2,158,3,0,1,0,3,0
217,0.9,0.98,5,245,5,0,1,0,3,0
218,0.43,0.53,2,131,3,0,1,0,3,0
219,0.89,0.87,5,225,5,0,1,0,4,0
220,0.1,0.84,6,286,4,0,1,0,4,0
221,0.37,0.5,2,135,3,0,1,0,4,0
222,0.37,0.51,2,153,3,0,1,0,4,0
223,0.87,0.9,5,252,5,0,1,0,3,0
224,0.4,0.56,2,149,3,0,1,0,7,0
225,0.9,0.97,4,258,5,0,1,0,7,0
226,0.37,0.46,2,158,3,0,1,0,8,0
227,0.44,0.54,2,149,3,0,1,0,8,0
228,0.85,0.95,5,236,5,0,1,0,8,0
229,0.78,0.98,5,239,6,0,1,0,5,0
230,0.42,0.47,2,159,3,0,1,0,5,0
231,0.92,0.99,5,255,6,0,1,0,0,0
232,0.11,0.83,6,244,4,0,1,0,7,0
233,0.42,0.56,2,134,3,0,1,0,2,0
234,0.48,0.57,4,270,4,0,1,0,1,0
235,0.83,0.85,4,255,5,0,1,0,9,0
236,0.4,0.53,2,151,3,0,1,0,5,0
237,0.43,0.45,2,135,3,0,1,0,5,0
238,0.43,0.53,2,146,3,0,1,0,5,0
239,0.1,0.97,7,254,4,0,1,0,0,0
240,0.1,0.87,7,289,4,0,1,0,0,0
241,0.37,0.46,2,156,3,0,1,0,0,0
242,0.38,0.53,2,156,3,0,1,0,0,0
243,0.4,0.5,2,128,3,0,1,0,0,0
244,0.89,0.86,5,275,5,0,1,0,0,0
245,0.45,0.46,2,155,3,0,1,0,0,0
246,0.37,0.48,2,159,3,0,1,0,0,0
247,0.46,0.49,2,148,3,0,1,0,0,0
248,0.87,0.91,4,228,5,0,1,0,0,0
249,0.11,0.84,6,298,4,0,1,0,0,0
250,0.79,0.87,5,261,5,0,1,0,0,0
251,0.79,0.92,5,254,6,0,1,0,0,0
252,0.19,0.59,7,192,3,0,1,0,0,0
253,0.87,0.98,4,248,5,0,1,0,0,0
254,0.6,0.92,2,258,5,0,1,0,0,0
255,0.44,0.45,2,156,3,0,1,0,0,1
256,0.11,0.81,6,266,4,1,1,0,0,1
257,0.42,0.54,2,156,3,0,1,0,0,1
258,0.88,0.88,5,232,5,1,1,0,7,1
259,0.11,0.84,6,287,4,0,1,0,7,1
260,0.46,0.46,2,154,3,0,1,0,7,1
261,0.82,0.97,5,263,5,0,1,0,8,1
262,0.44,0.56,2,131,3,0,1,0,8,1
263,0.11,0.78,6,260,4,0,1,0,8,1
264,0.42,0.5,2,139,3,0,1,0,8,1
265,0.84,0.93,4,251,5,0,1,0,1,1
266,0.11,0.95,6,286,4,0,1,0,1,1
267,0.45,0.53,2,129,3,0,1,0,1,2
268,0.38,0.56,2,156,3,0,1,0,1,0
269,0.38,0.86,6,139,6,0,1,0,1,1
270,0.44,0.51,2,127,3,0,1,0,1,1
271,0.11,0.84,6,251,4,0,1,0,1,1
272,0.81,0.93,5,270,5,0,1,0,1,1
273,0.09,0.96,6,296,4,0,1,0,1,0
274,0.11,0.9,6,254,4,0,1,0,1,0
275,0.81,0.95,5,238,6,0,1,0,1,0
276,0.1,0.97,6,267,4,1,1,0,2,0
277,0.74,0.89,5,229,6,0,1,0,2,0
278,0.09,0.78,6,254,4,0,1,0,2,0
279,0.82,0.81,4,233,4,1,1,0,2,0
280,0.1,0.98,6,268,4,0,1,0,2,0
281,0.27,0.56,3,301,3,0,1,0,2,0
282,0.83,0.92,5,267,6,0,1,0,2,0
283,0.1,0.93,6,289,4,1,1,0,2,0
284,0.38,0.47,2,144,3,0,1,0,2,0
285,0.4,0.56,2,148,3,0,1,0,2,0
286,0.11,0.83,6,306,4,0,1,0,2,0
287,0.11,0.79,6,292,4,0,1,1,1,0
288,0.82,0.91,5,232,5,0,1,0,1,0
289,0.36,0.48,2,137,3,0,1,0,1,0
290,0.4,0.46,2,128,3,0,1,0,9,0
291,0.87,0.84,5,231,5,0,1,0,3,0
292,0.41,0.49,2,146,3,0,1,0,3,0
293,0.11,0.91,6,308,4,1,1,0,3,0
294,0.1,0.93,6,253,4,0,1,0,3,1
295,0.38,0.51,2,146,3,0,1,0,3,1
296,0.39,0.55,2,156,3,0,1,0,4,1
297,0.4,0.52,2,147,3,0,1,0,4,1
298,0.45,0.48,2,136,3,0,1,0,4,1
299,0.74,0.84,5,249,5,0,1,0,4,1
300,0.45,0.55,2,151,3,0,1,0,3,1
301,0.12,1.0,3,278,4,0,1,0,6,1
302,0.1,0.77,7,250,5,0,1,0,6,1
303,0.37,0.55,2,127,3,0,1,0,6,1
304,0.89,0.87,5,255,5,0,1,0,6,1
305,0.45,0.47,2,135,3,0,1,0,6,1
306,0.37,0.46,2,149,3,0,1,0,5,2
307,0.11,0.81,5,287,4,0,1,0,0,0
308,0.41,0.48,2,145,3,0,1,0,7,1
309,0.1,0.94,6,285,4,0,1,0,2,1
310,0.1,0.93,7,305,4,0,1,0,1,1
311,0.11,0.95,7,300,4,0,1,0,9,1
312,0.4,0.54,2,139,3,0,1,0,5,0
313,0.41,0.49,2,130,3,0,1,0,5,0
314,0.1,0.81,6,268,4,0,1,0,5,0
315,0.73,0.86,4,245,6,0,1,0,0,0
316,0.43,0.47,2,135,3,0,1,0,0,0
317,0.37,0.46,2,153,3,0,1,0,0,0
318,0.11,0.94,6,276,4,0,1,0,0,0
319,0.4,0.46,2,130,3,0,1,0,0,0
320,0.41,0.54,2,153,3,1,1,0,0,0
321,0.82,0.84,5,244,5,0,1,0,0,0
322,0.61,0.47,2,253,3,0,1,0,0,0
323,0.11,0.91,7,287,4,0,1,0,0,0
324,0.37,0.45,2,131,3,0,1,0,0,0
325,0.41,0.52,2,135,3,0,1,0,0,0
326,0.37,0.52,2,157,3,0,1,0,0,0
327,0.88,0.99,5,262,6,0,1,0,0,0
328,0.1,0.85,6,266,4,0,1,0,0,0
329,0.44,0.48,2,148,3,0,1,0,0,0
330,0.38,0.57,2,140,3,0,1,0,0,0
331,0.11,0.85,7,302,4,0,1,0,0,0
332,0.09,0.98,6,271,4,0,1,0,0,0
333,0.45,0.52,2,145,3,0,1,0,0,1
334,0.1,0.81,6,290,4,0,1,0,7,1
335,0.45,0.47,2,151,3,0,1,0,7,1
336,0.77,0.87,5,266,5,0,1,0,7,1
337,0.44,0.51,2,140,3,0,1,0,8,1
338,0.39,0.5,2,142,3,0,1,0,8,1
339,0.1,0.91,6,246,4,0,1,0,8,1
340,0.09,0.89,7,308,5,0,1,0,8,1
341,0.37,0.47,2,141,3,0,1,0,1,1
342,0.9,1.0,5,232,5,0,1,0,1,1
343,0.41,0.56,2,143,3,0,1,0,1,1
344,0.37,0.52,2,155,3,0,1,0,1,1
345,0.1,0.86,6,278,4,0,1,0,1,2
346,0.81,1.0,4,253,5,0,1,0,1,0
347,0.11,0.8,6,282,4,0,1,0,1,1
348,0.11,0.84,7,264,4,0,1,0,1,1
349,0.4,0.46,2,149,3,0,1,0,1,1
350,0.09,0.8,6,304,5,0,1,0,1,1
351,0.48,0.93,3,219,6,0,1,0,1,0
352,0.91,0.91,4,262,6,0,1,0,2,0
353,0.43,0.57,2,135,3,0,1,0,2,0
354,0.33,0.88,6,219,5,0,1,0,2,0
355,0.41,0.57,2,136,3,0,1,0,2,0
356,0.41,0.55,2,154,3,0,1,0,2,0
357,0.37,0.54,2,149,3,0,1,0,2,0
358,0.31,0.62,6,135,5,0,1,0,2,0
359,0.09,0.91,6,275,4,0,1,0,2,0
360,0.1,0.87,6,290,4,0,1,0,2,0
361,0.76,0.9,4,263,5,0,1,0,2,0
362,0.41,0.54,2,145,3,0,1,0,2,0
363,0.72,0.96,5,267,5,0,1,0,1,0
364,0.4,0.5,2,141,3,1,1,0,1,0
365,0.91,0.87,4,235,5,0,1,0,1,0
366,0.1,0.83,6,258,4,0,1,0,9,0
367,0.4,0.56,2,131,3,0,1,0,3,0
368,0.82,0.86,5,243,5,0,1,0,3,0
369,0.1,0.82,6,266,4,0,1,0,3,0
370,0.37,0.45,2,142,3,0,1,0,3,0
371,0.36,0.51,2,135,3,0,1,0,3,0
372,0.39,0.48,2,141,3,0,1,0,4,1
373,0.36,0.57,2,142,3,0,1,0,4,1
374,0.86,0.84,5,254,5,0,1,0,4,1
375,0.73,0.99,5,262,5,0,1,0,4,1
376,0.56,0.71,4,296,2,0,1,0,3,1
377,0.44,0.56,2,158,3,0,1,0,7,1
378,0.31,0.56,4,238,2,0,1,0,7,1
379,0.77,0.93,4,231,5,0,1,0,8,1
380,0.44,0.45,2,156,3,0,1,0,8,1
381,0.38,0.46,2,145,3,0,1,0,8,1
382,0.45,0.48,2,144,3,0,1,0,5,1
383,0.38,0.51,2,159,3,0,1,0,0,1
384,0.36,0.48,2,156,3,0,1,0,7,2
385,0.75,0.9,5,256,5,0,1,0,2,0
386,0.1,0.93,6,298,4,0,1,0,1,1
387,0.1,0.97,6,247,4,0,1,0,9,1
388,0.45,0.5,2,157,3,0,1,0,5,1
389,0.42,0.57,2,154,3,1,1,0,5,1
390,0.78,1.0,4,253,5,0,1,0,5,0
391,0.45,0.55,2,148,3,0,1,0,0,0
392,0.84,1.0,4,261,5,0,1,0,0,0
393,0.11,0.93,6,282,4,0,1,0,0,0
394,0.42,0.56,2,133,3,0,1,0,0,0
395,0.45,0.46,2,128,3,0,1,0,0,0
397,0.09,0.79,6,293,5,0,1,0,0,0
398,0.87,0.83,4,265,6,0,1,0,0,0
399,0.1,0.87,6,250,4,0,1,0,0,0
400,0.91,1.0,5,251,6,0,1,0,0,0
401,0.76,0.92,4,246,5,0,1,0,0,0
402,0.74,1.0,5,275,5,0,1,0,0,0
403,0.92,0.93,5,240,5,0,1,0,0,0
404,0.76,0.87,5,245,5,0,1,0,0,0
405,0.47,0.5,4,254,4,0,1,0,0,0
406,0.73,0.99,5,241,5,0,1,0,0,0
407,0.09,0.94,6,257,4,0,1,0,0,0
408,0.91,0.92,4,246,5,0,1,0,0,0
409,0.82,0.98,4,233,5,0,1,0,0,0
410,0.28,0.45,6,218,4,0,1,0,7,0
411,0.84,0.99,4,262,6,0,1,0,7,1
412,0.45,0.53,2,138,3,0,1,0,7,1
413,0.45,0.54,2,142,3,0,1,0,8,1
414,0.91,0.97,5,233,5,0,1,0,8,1
415,0.42,0.48,2,155,3,0,1,0,8,1
416,0.82,1.0,4,229,6,0,1,0,8,1
417,0.11,0.9,6,264,4,0,1,0,1,1
418,0.42,0.53,3,199,4,0,1,0,1,1
419,0.82,0.85,4,223,5,0,1,0,1,1
420,0.09,0.96,6,268,4,0,1,0,1,1
421,0.1,0.94,6,287,4,0,1,0,1,1
422,0.86,1.0,5,257,5,0,1,0,1,1
423,0.4,0.46,2,143,3,0,1,0,1,2
424,0.45,0.46,2,130,3,0,1,0,1,0
425,0.42,0.51,2,136,3,0,1,0,1,1
426,0.74,0.92,4,261,5,0,1,0,1,1
427,0.55,0.6,3,180,4,0,1,0,1,1
428,0.37,0.45,2,126,3,0,1,0,2,1
429,0.41,0.52,2,127,3,1,1,0,2,0
430,0.89,0.65,5,195,6,0,1,0,2,0
431,0.41,0.57,2,160,3,0,1,0,2,0
432,0.44,0.51,2,150,3,0,1,0,2,0
433,0.87,0.84,4,264,6,0,1,0,2,0
434,0.1,0.84,6,309,4,0,1,0,2,0
435,0.41,0.47,2,135,3,0,1,0,2,0
436,0.11,0.85,6,261,4,0,1,0,2,0
437,0.43,0.53,2,160,3,0,1,0,2,0
438,0.77,0.9,4,237,5,0,1,0,2,0
439,0.41,0.52,2,136,3,0,1,0,1,0
440,0.41,0.48,2,139,3,0,1,0,1,0
441,0.36,0.78,2,151,4,0,1,0,1,0
442,0.77,1.0,5,229,5,0,1,0,9,0
443,0.81,0.98,5,245,5,0,1,0,3,0
444,0.39,0.54,2,127,3,0,1,0,3,0
445,0.09,0.94,6,283,5,0,1,0,3,0
446,0.44,0.46,2,143,3,0,1,0,3,0
447,0.1,0.84,5,298,4,0,1,0,3,0
448,0.36,0.48,2,159,3,0,1,0,4,0
449,0.81,0.92,5,239,5,0,1,0,4,0
450,0.81,0.9,4,226,5,0,1,0,4,1
451,0.85,0.98,5,248,5,0,1,0,4,1
452,0.1,0.87,6,286,4,0,1,0,3,1
453,0.37,0.54,2,145,3,0,1,0,6,1
454,0.09,0.97,7,254,4,1,1,0,6,1
455,0.44,0.53,2,127,3,0,1,0,6,1
456,0.86,0.93,5,223,5,0,1,0,6,1
457,0.77,1.0,4,255,5,0,1,0,6,1
458,0.41,0.48,2,136,3,0,1,0,5,1
459,0.4,0.48,2,137,3,0,1,0,0,1
460,0.43,0.49,2,135,3,0,1,0,7,1
461,0.43,0.5,2,137,3,0,1,0,2,1
462,0.8,0.53,3,255,5,0,1,0,1,2
463,0.8,0.85,4,273,5,0,1,0,9,0
464,0.82,0.98,5,234,5,0,1,0,5,1
465,0.37,0.54,2,152,3,0,1,0,5,1
466,0.37,0.48,2,134,3,0,1,0,5,1
467,0.09,0.95,6,292,4,0,1,0,0,1
468,0.9,0.92,5,245,5,0,1,0,0,0
469,0.41,0.52,2,159,3,0,1,0,0,0
470,0.1,0.85,6,260,4,0,1,0,0,0
471,0.44,0.53,2,149,3,0,1,0,0,0
472,0.89,0.85,5,266,5,0,1,0,0,0
473,0.42,0.56,2,149,3,0,1,0,0,0
474,0.87,1.0,5,242,5,0,1,0,0,0
475,0.45,0.57,2,134,3,0,1,0,0,0
476,0.11,0.87,5,271,4,0,1,0,0,0
477,0.09,0.79,6,275,4,0,1,0,0,0
478,0.76,0.83,5,227,5,0,1,0,0,0
479,0.11,0.96,7,277,5,0,1,0,0,0
480,0.37,0.49,2,151,3,0,1,0,0,0
481,0.1,0.79,6,274,4,0,1,0,0,0
482,0.77,0.87,4,242,6,0,1,0,0,0
483,0.42,0.54,2,143,3,1,1,0,0,0
484,0.38,0.52,2,145,3,0,1,0,0,0
485,0.32,0.95,5,172,2,0,1,0,0,0
486,0.38,0.49,2,135,3,0,1,0,7,0
487,0.19,1.0,4,192,4,0,1,0,7,0
488,0.1,0.83,7,276,4,0,1,0,7,0
489,0.76,0.88,4,206,4,0,1,0,8,1
490,0.53,0.56,4,281,6,0,1,0,8,1
491,0.39,0.51,2,151,3,0,1,0,8,1
492,0.11,0.83,6,244,4,0,1,0,8,1
493,0.1,0.94,6,309,4,0,1,0,1,1
494,0.84,1.0,5,218,5,0,1,0,1,1
495,0.82,0.99,4,263,6,0,1,0,1,1
496,0.1,0.82,6,244,4,0,1,0,1,1
497,0.59,0.49,7,263,4,0,1,0,1,1
498,0.44,0.48,2,143,3,0,1,0,1,1
499,0.89,0.95,2,181,5,0,1,0,1,1
500,0.91,0.84,5,265,5,0,1,0,1,1
501,0.66,0.57,5,161,5,0,1,0,1,2
502,0.11,0.87,7,282,5,0,1,0,1,0
503,0.43,0.51,2,155,3,0,1,0,1,1
504,0.78,0.83,4,217,6,0,1,0,2,1
505,0.11,0.97,6,289,5,0,1,0,2,1
506,0.83,0.98,4,259,5,0,1,0,2,1
507,0.39,0.54,2,158,3,0,1,0,2,0
508,0.38,0.55,2,158,3,0,1,0,2,0
509,0.37,0.57,2,155,3,0,1,0,2,0
510,0.44,0.48,2,146,3,0,1,0,2,0
511,0.53,0.85,2,164,5,0,1,0,2,0
512,0.09,0.96,6,259,4,0,1,0,2,0
513,0.11,0.89,6,293,4,0,1,0,2,0
514,0.83,0.96,5,275,5,0,1,0,2,0
515,0.88,1.0,5,219,6,1,1,0,1,0
516,0.1,0.89,6,247,4,0,1,0,1,0
517,0.09,0.86,7,309,4,0,1,0,1,0
518,0.44,0.54,2,151,3,0,1,0,9,0
519,0.39,0.51,2,129,3,0,1,0,3,0
520,0.87,0.94,4,274,5,0,1,0,3,0
521,0.74,0.99,4,233,5,0,1,0,3,0
522,0.1,0.95,7,289,4,0,1,0,3,0
523,0.74,0.82,4,239,6,0,1,0,3,0
524,0.75,0.99,5,221,5,0,1,0,4,0
525,0.41,0.56,2,150,3,0,1,0,4,0
526,0.41,0.45,2,144,3,1,1,0,4,0
527,0.09,0.9,7,289,4,0,1,0,4,0
528,0.09,0.8,6,301,5,0,1,0,3,1
529,0.39,0.57,2,145,3,0,1,0,7,1
530,0.4,0.56,2,137,3,0,1,0,7,1
531,0.37,0.54,2,131,3,1,1,0,8,1
532,0.1,0.84,6,246,4,0,1,0,8,1
533,0.43,0.51,2,136,3,0,1,0,8,1
